"","06520011B0023R","06520067C0018R","06520063C0043R","06520105C0017R","06520092C0017R","06520103C0017R","06520001B0023R","06520022C0017R","06520062C0017R","06520046C0018R","06520101B0017R","06520047C0017R","06520024B0014R","06520080B0023R","06520093C0017R","06520070C0018R","06520023C0018R","06520099B0017R","06520015C0016R","06520019C0023R"
"GeneID:388799",10,10,2,7,7,10,7,0,3,7,25,4,8,0,17,2,6,61,1,13
"GeneID:101927244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GeneID:102723874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100113384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:286133",13,1,5,5,3,16,7,12,24,10,4,3,120,69,69,108,0,66,62,16
"GeneID:100506518",1,1,3,1,0,0,0,1,1,2,0,1,1,0,1,1,0,1,1,0
"GeneID:10331",0,1,0,0,99,8,1,0,0,0,8,0,0,0,5,4,0,9,0,1
"GeneID:102724497",0,0,15,2,0,4,0,0,0,1,1,1,0,0,0,2,0,0,3,0
"GeneID:23417",430,492,422,604,576,942,432,576,418,297,605,596,2909,573,819,582,704,1377,381,542
"GeneID:100616372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"GeneID:101954273",0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"GeneID:225689",309,316,1021,33,5,42,8,1156,1418,1,17,2,1972,62,9,20,12,17,13,99
"GeneID:727956",552,376,1284,1341,1101,771,1253,904,861,1095,407,901,1667,436,786,998,399,863,772,1117
"GeneID:284933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9219",5152,3359,2357,3068,2873,4709,5461,3669,2093,4579,3896,3199,2263,3300,5083,3427,3633,4941,2684,3328
"GeneID:102723581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:51206",73,107,102,60,61,15,26,64,6,4,64,28,16982,0,10,21,4,77,1,40
"GeneID:26984",731,526,475,664,347,600,831,620,660,621,516,367,458,584,458,566,523,799,319,513
"GeneID:407046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724112",11,15,5,5,12,25,6,8,11,17,30,3,9,0,20,13,20,27,4,19
"GeneID:642648",0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"GeneID:102724158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101060389",0,0,0,0,1,0,0,0,1,7,0,0,2,0,0,0,5,0,0,0
"GeneID:168090",0,0,308,135,1,1,0,18,118,24,0,3,12,0,0,14,9,0,4,9
"GeneID:7414",7113,9362,11494,6052,16001,16857,10823,7384,5100,2440,7429,4658,7056,11466,6481,18439,11190,5040,23377,14193
"GeneID:5024",6,86,9,4,16,11,1,0,1,277,1,2153,4,0,0,297,400,0,0,18
"GeneID:102723597",0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,0
"GeneID:167410",31,17,673,55,6,2,4,0,378,4,0,90,3,0,7,9,79,7,37,0
"GeneID:3800",122,224,684,6915,92,2577,204,42,58,18779,674,25253,311,160,113,11770,19615,325,89,15738
"GeneID:338429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:284417",0,3,6,3,11,79,24,7,5,2,119,1,10,0,121,29,16,43,10,45
"GeneID:64434",1050,1022,1521,1203,1372,1146,1862,1273,1274,2548,1016,2196,1763,1201,1348,1063,1173,1790,706,1936
"GeneID:1347",1928,1656,900,1417,1807,1850,1091,1402,1386,1621,977,2580,1883,1357,1346,1299,2716,846,984,1217
"GeneID:146378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"GeneID:4134",15290,18311,11253,11612,16067,18242,16907,18912,21330,6083,10595,9010,17441,19827,10809,21701,14238,9555,23227,19753
"GeneID:22920",3783,2092,1415,4958,2259,2146,4684,3845,2735,14766,1183,4849,1692,3204,1940,5326,7765,1672,3433,5708
"GeneID:64693",7,25,15,24,20,33,34,44,51,21,7,21,7,24,34,3,8,4,20,3
"GeneID:51060",1156,409,785,807,1018,1950,940,645,523,681,937,398,561,1785,976,878,831,730,672,630
"GeneID:102724426",31,36,59,80,62,85,54,84,44,31,140,76,75,18,109,78,74,117,68,111
"GeneID:100874150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:55862",1392,889,761,1282,1082,970,1323,940,1170,718,802,1552,1095,2095,974,797,932,1049,618,935
"GeneID:51471",0,0,1,0,3,3,1,1,0,0,8,1,0,0,6,1,1,0,0,2
"GeneID:55054",1716,1895,1178,2271,1249,1698,1169,1405,903,2713,2027,1985,1512,733,2029,1326,2304,2881,802,2323
"GeneID:102725364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:23031",1395,1147,574,2252,812,1300,823,2333,1908,338,2146,410,265,546,3463,1562,2091,5170,747,2104
"GeneID:101927069",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"GeneID:100126799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100302740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:150622",0,0,20,2,0,0,0,0,5,39,0,35,0,0,0,69,58,0,0,61
"GeneID:102723440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:389690",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GeneID:10156",80,15,89,204,38,82,69,80,112,209,132,342,15,9,39,255,346,157,91,151
"GeneID:10638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:10133",1864,1493,7249,2097,4871,8085,3549,6605,3024,8327,5096,5226,1697,6823,9419,11424,16371,7797,6290,12907
"GeneID:146177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:81847",1373,1172,1535,1972,1178,1328,1398,1038,1652,1661,1304,2143,1344,1562,1374,1995,1619,1565,1041,1615
"GeneID:401337",0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:93594",1742,2046,857,1570,1278,1530,1690,1174,862,1440,936,933,1729,2004,1162,602,689,1943,509,741
"GeneID:127435",18,313,172,69,1776,2118,2454,115,480,50,762,51,594,113,791,3455,1712,162,2223,1005
"GeneID:646405",164,36,20,130,6,10,1,70,43,351,5,175,0,36,3,197,114,8,20,217
"GeneID:57140",370,485,440,265,648,1153,413,681,411,459,1192,306,543,338,1664,637,555,2081,635,751
"GeneID:9002",7,12,17,4,217,23,21,34,8,17,89,18,9,12,21,30,32,52,40,205
"GeneID:55298",505,500,618,845,409,812,959,588,489,415,952,496,869,546,502,541,578,836,537,630
"GeneID:101929237",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:645700",4,10,1,0,0,0,0,29,0,1,0,0,0,0,4,0,3,1,1,0
"GeneID:102724485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:130162",927,766,894,589,251,268,331,559,737,1284,604,872,333,197,188,360,536,244,395,473
"GeneID:114882",8895,12552,4204,6269,5864,10936,10136,7874,6840,7929,6444,8056,3856,7930,6665,8533,7492,9519,6641,13355
"GeneID:102724536",0,0,2,0,1,0,3,0,0,0,0,0,5,4,0,0,0,0,3,0
"GeneID:337976",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GeneID:717",229,578,696,506,6838,5976,3902,967,806,174,5664,451,2315,217,7881,1072,933,3121,1158,3236
"GeneID:128368",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:51029",358,188,307,344,344,475,258,300,263,419,365,588,479,205,272,280,171,322,641,325
"GeneID:57708",4499,4132,2779,1837,2085,2798,1713,2891,2587,3291,3194,1515,1744,4051,3529,3658,2756,4754,2391,2940
"GeneID:51175",529,465,430,1195,288,1009,314,496,649,1053,392,676,405,310,310,646,552,441,364,746
"GeneID:144453",8,0,0,13,4,2,8,13,0,4,7,8,168,0,4,0,0,0,31,7
"GeneID:388948",3,1,2,5,9,1,2,2,4,1,5,2,3,9,1,3,4,0,2,3
"GeneID:100130587",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:201254",13,20,25,23,14,22,19,11,16,22,11,29,23,97,40,23,59,24,11,18
"GeneID:23011",2472,3065,874,1368,845,1526,1149,1634,796,1425,919,749,762,873,1199,1255,1410,1444,1091,1658
"GeneID:474",0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GeneID:100289361",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GeneID:101060226",705,174,1263,2523,892,1352,1025,466,1579,212,1158,676,983,1283,1400,994,439,832,1270,777
"GeneID:64146",14,27,14,15,14,16,5,14,20,12,16,21,5,7,13,8,7,13,6,11
"GeneID:101928012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102466197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101928849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927234",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4886",14933,17795,375,140,692,7,6,16312,35,44,203,14,68,3,177,293,510,89,159,69
"GeneID:102724688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:84069",0,4,10,1,29,8,4,3,147,0,41,0,0,2,41,2,2,15,8,10
"GeneID:5356",2492,1619,1715,2607,1919,5889,4246,2363,1679,3109,1536,2116,3070,2538,2246,1989,2421,2027,1521,1750
"GeneID:729177",0,5,3,8,0,0,8,2,14,39,0,21,10,22,1,9,11,1,0,16
"GeneID:100287083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:8786",15,83,13,60,6,122,21,4,1137,50,20,1375,101,0,46,1147,1013,27,191,1120
"GeneID:3669",38,133,32,51,347,143,35,103,71,66,957,96,80,26,1858,155,113,2364,69,422
"GeneID:339166",0,0,0,2,0,0,0,0,1,0,0,0,158,0,0,0,0,0,0,0
"GeneID:101928397",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"GeneID:387111",0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"GeneID:25831",21910,17398,17362,18149,14607,16358,13840,16353,18572,17261,12552,14267,12033,14804,12835,17761,16233,16749,12980,18969
"GeneID:653423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:55339",6003,4667,3504,4487,3013,4968,2479,4309,4693,4404,3522,5356,4104,4048,4115,3733,3386,5310,2037,2918
"GeneID:79004",995,574,660,439,451,495,424,870,619,739,472,925,661,410,563,722,937,566,396,587
"GeneID:941",8,23,81,24,78,337,29,13,14,26,1845,34,73,5,872,37,56,443,37,378
"GeneID:100316868",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"GeneID:79937",4,4,11,285,36,44,20,12,82,21,12,49,1892,0,29,95,146,29,43,141
"GeneID:101928663",2,0,3,0,2,5,1,0,0,0,15,0,0,0,2,5,3,0,1,3
"GeneID:286676",0,13,20,2,4,64,1,3,32,12,71,1,3,0,124,0,11,150,5,5
"GeneID:253039",22,4,13,4,8,11,29,49,35,37,26,36,30,1,31,13,37,16,20,19
"GeneID:102723561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:442903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:85290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929538",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:140776",0,1,1,0,6,0,6,1,0,0,4,4,14,0,0,0,0,0,3,2
"GeneID:147929",401,141,182,280,242,114,170,337,354,343,106,225,242,148,167,251,185,222,331,234
"GeneID:57474",746,369,549,963,445,507,403,706,453,723,691,612,626,308,787,620,761,1090,834,415
"GeneID:100996701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:63978",1,28,2,2,0,2,0,2,12987,0,2,0,0,40,0,0,1,0,0,4
"GeneID:5609",243,290,316,312,283,325,220,513,233,314,346,260,469,204,445,304,393,376,334,350
"GeneID:4563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:3483",7,20,36,30,3,6,1,3,93,18,3,13,0,0,2,16,13,0,0,6
"GeneID:79411",336,270,464,315,409,643,432,567,206,399,305,143,190,358,348,415,305,219,219,272
"GeneID:58494",410,176,118,1440,1222,323,249,201,2051,98,1028,765,1418,580,858,3380,712,610,1519,482
"GeneID:1642",12470,8009,8684,9931,7044,13667,14016,10756,7590,16591,6320,9225,11986,9081,8398,12077,17953,7098,5603,9755
"GeneID:6259",3529,1638,4228,2451,2364,5356,4064,2578,3737,1933,1686,1602,2087,3649,1858,2739,1388,2010,2635,1739
"GeneID:100996255",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GeneID:149563",0,0,0,25,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"GeneID:126003",134,161,130,115,123,164,76,206,96,117,206,92,113,54,202,150,161,199,104,117
"GeneID:100302185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102725193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:391723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4922",4,192,37,8,42759,22,0,0,22,68,2,49,24,0,225,52,157,74,0,2
"GeneID:101928742",4,0,0,0,0,0,0,2,0,0,0,0,2,14,0,0,0,0,0,0
"GeneID:8835",21,553,73,81,252,362,62,509,201,257,291,210,87,28,222,392,280,112,396,300
"GeneID:5533",874,1229,721,899,1099,1063,755,963,1060,997,1694,976,602,461,2387,1415,1196,4592,976,1910
"GeneID:100302118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101752334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102723819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:83856",1255,568,1100,1654,322,1036,441,1000,589,3398,559,1714,347,862,389,1272,1805,615,496,3668
"GeneID:55209",12283,11798,15745,23956,9917,12866,14632,16545,15009,8738,14963,11543,19272,13260,11614,12834,12134,17150,10676,19629
"GeneID:79649",2052,486,1279,1086,975,1365,2731,198,2664,382,1050,299,872,2772,1465,1287,784,1261,1685,854
"GeneID:440288",3,8,2,9,1,2,6,7,3,0,1,3,11,2,2,1,1,4,5,1
"GeneID:11027",15,13,52,179,36,1189,320,22,31,27,249,74,30,6,322,220,118,80,50,580
"GeneID:51474",4311,3784,1435,1146,3312,3101,4972,2526,863,558,2868,986,909,3564,2822,4102,1939,1828,4564,2221
"GeneID:29079",1662,1840,1743,1411,1032,1836,928,1240,1438,2092,983,1370,1070,1938,1169,1356,1322,1184,1047,1685
"GeneID:1525",300,13,615,907,57,1337,23,9,70,586,9,367,224,441,17,167,294,25,3,1029
"GeneID:122664",1,0,0,0,1,3,0,4,0,1,0,0,0,0,0,5,0,0,0,0
"GeneID:286464",177,29,1,427,1,14,21,17,1150,3,8,12,0,0,2,6,11,0,1,84
"GeneID:100996808",7,39,0,0,0,6,8,1,31,13,1,52,0,1,2,9,13,5,2,27
"GeneID:59350",0,10,157,13,17,57,1,9,41,2,8,6,19,6,14,18,31,1,4,60
"GeneID:100101148",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"GeneID:101928752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:254863",405,181,119,134,130,358,127,338,206,113,143,85,247,92,190,140,69,141,78,59
"GeneID:101929609",0,2,1,5,0,0,1,1,0,2,0,4,0,0,0,1,1,0,0,0
"GeneID:2524",1,6,12,1,58,439,0,9,2,2,0,0,3,7,12,2,0,0,0,1
"GeneID:84067",796,1045,1310,1079,726,1239,866,1445,818,1708,1051,379,640,618,1090,1275,913,1476,1045,1189
"GeneID:81610",1497,500,535,422,365,1294,1641,669,150,507,363,906,1474,1076,381,58,43,322,239,65
"GeneID:100289574",126,124,404,159,10,94,104,1,442,860,1,510,72,12,6,241,278,8,7,131
"GeneID:100144596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:92249",5,14,26,47,13,4,22,15,8,1,3,27,3,21,5,20,18,4,16,9
"GeneID:102723937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:80149",38,49,44,64,109,281,137,98,86,36,1081,38,95,108,817,153,120,928,191,399
"GeneID:6019",0,0,11,7,3,16,0,1,0,28,13,7,0,0,9,4,1,36,0,0
"GeneID:102725370",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GeneID:399972",0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GeneID:115273",3,13,6,11,5,99,25,1,4,2,33,4,16,17,48,5,12,77,14,112
"GeneID:285753",1186,1120,603,794,535,350,508,872,870,723,397,923,1376,570,377,844,666,440,598,900
"GeneID:102724251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:49854",679,725,619,813,643,1587,1313,886,878,1359,784,1771,5480,1028,807,1906,806,1054,640,3668
"GeneID:9849",4283,2149,2513,3229,2120,1920,1807,4984,4749,5957,1947,2344,2922,1020,1771,2466,2375,3635,1713,3161
"GeneID:440093",3,18,21,1,1,10,4,23,11,64,11,30,4,9,32,18,14,5,13,17
"GeneID:154743",365,250,372,482,182,283,342,306,416,874,397,556,414,291,391,496,327,359,214,405
"GeneID:221302",958,634,644,650,603,673,855,621,510,1124,526,1021,741,629,596,524,547,732,392,909
"GeneID:285190",48,57,15,32,18,24,8,750,51,103,4,34,42,2,8,30,127,1,37,113
"GeneID:100996924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724809",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"GeneID:92304",0,57,3,0,4,2,3,1,443,0,12,1,0,0,10,1,0,12,0,5
"GeneID:6998",0,2,0,0,0,182,23,1,0,0,0,0,0,0,8,5,0,0,2,0
"GeneID:644919",0,0,0,0,0,2,1,0,3,7,0,7,0,0,0,0,0,0,0,0
"GeneID:652968",7,18,112,19,84,106,208,47,21,38,63,20,8,67,59,80,37,49,94,37
"GeneID:7022",3,6,0,16,22,7,1,7,254,2,4,7,0,0,3,37,2,0,27,7
"GeneID:7512",132,12,23,13,121,168,1623,421,295,35,354,14,18,174,161,194,32,37,96,1
"GeneID:11096",58,139,455,115,991,487,491,36,1972,29,379,106,142,86,176,675,259,93,619,237
"GeneID:1240",196,168,291,94,531,1307,783,263,316,75,1443,233,332,162,1433,637,566,729,2687,702
"GeneID:284110",11,4,51,3,10,73,0,42,1,2,91,7,4,1,27,7,10,18,10,20
"GeneID:140564",212,283,319,25,165,352,95,251,59,89,836,46,111,6,1500,311,257,1639,159,113
"GeneID:102723510",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"GeneID:1272",216,139,133,4637,511,195,1442,15,5787,19284,32,6074,113,3115,623,30941,21980,244,1192,4604
"GeneID:3572",5676,4381,6035,5558,16066,7964,5487,5764,6150,6123,11378,3524,3865,11283,14402,18066,13149,17979,9774,14344
"GeneID:7703",1637,1290,1642,1133,1130,1796,807,761,730,4327,663,1229,909,1093,411,2001,2409,177,1173,1942
"GeneID:6711",11317,12880,20724,34793,57493,28057,13783,17558,16723,34528,16123,35704,32980,16456,28055,122831,85019,22959,35057,59570
"GeneID:140828",0,0,0,2,14,53,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:284098",433,317,333,403,357,514,531,228,328,409,243,559,474,267,231,201,417,302,144,415
"GeneID:100873758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:406909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4330",209,167,208,1948,347,261,204,221,1696,18,145,16,908,263,27,112,117,27,490,63
"GeneID:55262",251,252,306,214,312,340,192,344,115,462,528,347,189,129,459,228,428,466,183,285
"GeneID:58508",23364,20664,20575,41697,21655,21297,22517,19037,25441,44463,20577,45100,19456,19826,21582,33687,22619,28908,16333,29974
"GeneID:148156",1036,698,830,1949,401,564,583,1215,1098,912,443,401,1081,327,527,598,419,722,658,406
"GeneID:94104",5401,2482,5737,8585,2975,4008,5422,3843,5900,4820,4403,8653,6642,7050,3232,4039,2468,4746,2322,4885
"GeneID:85476",4232,2929,3115,4993,4421,5705,5938,3540,3401,4444,4821,3761,3622,4541,3608,4407,8763,5336,2836,4272
"GeneID:440335",0,0,2,0,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101928784",1,2,9,3,0,3,0,2,0,0,1,1,3,0,2,2,0,0,0,0
"GeneID:101929125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100532724",281,78,124,847,102,116,81,139,191,77,134,55,99,60,105,149,121,56,152,135
"GeneID:6029",160,1086,1018,1160,794,750,1571,537,131,222,444,591,839,429,897,700,1565,478,2391,585
"GeneID:26781",2277,2341,1272,1657,1944,1631,2513,1826,2350,1109,3345,1681,1561,3044,1214,782,626,1948,354,1120
"GeneID:101926915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:83707",366,162,150,113,130,168,133,357,125,163,156,100,112,156,186,124,149,158,131,103
"GeneID:253769",1338,1112,1463,651,1004,768,1472,1226,1832,1325,951,805,2105,682,603,931,688,928,598,905
"GeneID:27036",14,14,92,34,59,512,96,56,9,19,266,27,63,13,412,42,107,179,38,254
"GeneID:3054",4435,4271,3257,4758,2891,5226,5714,5220,3087,7532,4866,5224,5023,3963,6034,4446,3949,4613,3963,4635
"GeneID:2847",2,6,44,38,28,101,6,10,161,3,301,63,4089,94,151,355,632,112,11,281
"GeneID:140947",0,0,7,1,4,10,8,8,0,14,119,0,3,0,256,6,9,118,0,15
"GeneID:5873",383,183,363,237,992,895,754,378,484,156,1300,132,267,1011,2171,525,699,2069,815,552
"GeneID:646241",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"GeneID:22888",461,779,427,344,231,612,730,485,434,603,471,294,595,389,404,433,430,487,270,404
"GeneID:400128",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GeneID:284359",2,2,9,4,28,15,15,6,6,9,0,5,5,0,0,6,18,1,13,27
"GeneID:6339",172,152,239,109,45,32,57,427,241,59,43,104,28,29,45,159,94,97,56,179
"GeneID:7077",1173,1891,535,1615,2412,4793,4227,1203,3892,1676,2263,3207,1536,2733,1582,8691,17163,542,4492,5382
"GeneID:55697",1487,1536,1660,1768,1243,3508,1688,1921,1103,3046,2192,1536,1169,1297,4595,1413,1572,3302,1020,1945
"GeneID:283788",127,699,531,506,385,314,668,288,744,291,394,612,510,134,609,485,1034,882,667,482
"GeneID:6728",1840,1341,1150,1908,1179,842,952,1231,928,2274,1097,2232,1267,1163,1262,1585,1282,1500,1178,1600
"GeneID:102465690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:3988",3284,1589,3274,3835,5011,34718,5468,2988,1189,1303,3036,2887,2053,1768,7229,4095,6022,3182,2521,11810
"GeneID:407035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4224",0,1,1,3,0,246,1,5,2,7,9,0,4,0,7,9,16,241,2,127
"GeneID:101927392",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GeneID:54518",128,184,436,632,613,4427,1534,492,280,429,3835,530,489,51,6623,648,1045,10956,491,1905
"GeneID:100507501",1,3,2,4,0,0,2,7,2,0,2,1,2,0,0,3,1,2,0,0
"GeneID:102724921",0,1,0,0,0,9,0,0,0,0,0,1,1,2,0,3,1,0,0,2
"GeneID:220323",62,83,78,27,220,93,119,75,36,7,94,41,27,44,113,567,78,44,373,67
"GeneID:22948",11763,15485,6099,6515,6567,10689,12512,7699,7839,9705,5468,14788,13302,6211,7190,5354,12124,6589,4376,7580
"GeneID:101927322",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:5205",3474,3299,1342,557,4924,2700,1308,14605,787,173,702,631,322,1297,896,2661,1680,207,3128,1756
"GeneID:102723793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:2034",2872,9450,4740,4014,43498,17600,7566,5304,4918,2459,21047,17520,6165,1951,16367,16354,13430,12038,14916,20209
"GeneID:101927126",0,6,2,0,5,0,0,4,0,0,0,1,0,0,2,0,0,0,5,0
"GeneID:102465248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:729920",101,115,497,233,245,335,325,50,468,36,90,405,477,536,65,234,200,188,213,133
"GeneID:80776",34,24,25,29,26,27,14,52,8,28,52,15,15,10,52,17,21,56,20,31
"GeneID:155061",325,371,455,495,339,546,449,416,404,617,629,666,435,192,768,468,435,740,329,602
"GeneID:222553",177,206,312,381,137,7,21,13,52,2,2,578,130,0,11,1318,62,1,473,545
"GeneID:100302526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:79039",1788,1952,1356,1226,977,1536,1564,1864,1128,437,1196,684,1365,1083,1750,813,872,1440,909,889
"GeneID:10228",688,565,743,999,443,1334,626,362,586,1294,526,1204,872,438,654,774,656,720,415,769
"GeneID:2218",2072,1199,1166,2046,941,1034,2081,1651,2489,1560,872,1558,1731,1175,865,1637,1660,1264,1038,1924
"GeneID:4146",10,2,3,4,0,1,1,0,76,0,4,8,1,7,3,3,0,4,1,8
"GeneID:131540",2,4,0,4,1,0,0,4,0,5,5,0,0,0,2,11,0,0,3,0
"GeneID:102723479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102723355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:647044",0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,1,0,0,9
"GeneID:124923",373,209,337,734,251,428,912,429,457,988,674,866,766,77,566,446,353,687,222,850
"GeneID:8678",1465,921,858,1121,1380,1820,1066,1413,761,2142,1245,888,964,1160,1566,1458,3168,1654,919,1291
